ubigeo;dummy
30202;1
30208;1
30219;1
30604;1
30605;1
30606;1
30609;1
30610;1
30611;1
50401;1
50402;1
50403;1
50404;1
50405;1
50406;1
50407;1
50408;1
50409;1
50410;1
50411;1
50412;1
50501;1
50502;1
50503;1
50504;1
50505;1
50506;1
50507;1
50508;1
50509;1
50510;1
50511;1
80408;1
80901;1
80902;1
80903;1
80904;1
80905;1
80906;1
80907;1
80908;1
80909;1
80910;1
80911;1
80912;1
80913;1
81106;1
81203;1
90503;1
90507;1
90509;1
90510;1
90701;1
90702;1
90703;1
90704;1
90705;1
90706;1
90707;1
90709;1
90710;1
90711;1
90713;1
90714;1
90715;1
90716;1
90717;1
90718;1
90719;1
90720;1
90721;1
90722;1
90723;1
100103;1
100311;1
100403;1
100502;1
100505;1
100507;1
100511;1
100601;1
100602;1
100603;1
100604;1
100605;1
100606;1
100607;1
100608;1
100609;1
100610;1
100702;1
100704;1
100705;1
100802;1
100901;1
100902;1
100903;1
100904;1
100905;1
120124;1
120135;1
120203;1
120301;1
120302;1
120303;1
120304;1
120305;1
120306;1
120601;1
120602;1
120603;1
120604;1
120605;1
120606;1
120607;1
120608;1
120609;1
130807;1
160105;1
160106;1
160107;1
160201;1
160202;1
160205;1
160206;1
160210;1
160211;1
160401;1
160402;1
160403;1
160404;1
160602;1
160605;1
160606;1
160801;1
160802;1
160803;1
160804;1
170102;1
170104;1
170201;1
170204;1
190301;1
190302;1
190303;1
190304;1
190305;1
190306;1
190307;1
190308;1
210303;1
210304;1
210307;1
210308;1
210309;1
211201;1
211203;1
211204;1
211205;1
211206;1
211207;1
211208;1
211209;1
211210;1
220201;1
220202;1
220203;1
220204;1
220205;1
220301;1
220302;1
220303;1
220304;1
220305;1
220401;1
220402;1
220403;1
220404;1
220405;1
220406;1
220503;1
220504;1
220601;1
220602;1
220603;1
220604;1
220605;1
220708;1
220710;1
220904;1
220905;1
220906;1
220907;1
220911;1
220913;1
220914;1
221001;1
221002;1
221003;1
221004;1
221005;1
250101;1
250102;1
250104;1
250106;1
250204;1
250301;1
250302;1
250303;1
250304;1
250305;1
