ubigeo;piso_2017;agua_2017;desague_2017;electricidad_2017;vivienda_2017;combustible_2017;electro_2017;hombre_2017;mujer_2017;estatus_migracion_2017;quechua_2017;castellano_2017;pet_2017;pea_2017;peao_2017;hombre_2007;mujer_2007;quechua_2007;castellano_2007;pet_2007;pea_2007;peao_2007;piso_2007;agua_2007;desague_2007;electricidad_2007;vivienda_2007;combustible_2007;electro_2007;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10101;0.5976821;0.6938121;0.649731;0.7033319;0.3080505;0.893327;0.9523527;0.4733499;0.5266501;0.6988248;0.0046642;0.9229494;0.7535058;0.6073465;0.8919807;0.4679393;0.5320607;0.0022019;0.9932623;0.7166548;0.5461646;0.8583778;0.5755123;0.7651743;0.6902493;0.755776;0.5152069;0.6208067;0.7070879;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10102;0.0425532;0.7021276;0.5531915;0.6028369;0.2695035;0.2190476;0.6190476;0.5114504;0.4885496;0.8396947;0.0038168;0.9274809;0.759542;0.5075377;0.5742574;0.4878893;0.5121107;0.0072993;0.9744526;0.7128028;0.7087379;0.8561644;0.0487805;0;0.1626016;0.3414634;0.6178862;0.0325203;0.1138211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10103;0.1583199;0.3764136;0.1793215;0.3893376;0.1502423;0.2562674;0.7493036;0.5246479;0.4753521;0.8257042;0.0008803;0.9005282;0.6875;0.5787452;0.7632743;0.5360457;0.4639543;0;0.9929797;0.614561;0.5226481;0.4533333;0.1335953;0.0157171;0.0962672;0.2671906;0.5343812;0.0491159;0.2003929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10104;0.2789317;0.5519288;0.5222552;0.5519288;0.2462908;0.5181818;0.7727273;0.4937695;0.5062305;0.8302181;0.0015576;0.9423676;0.7461059;0.6826723;0.9051988;0.5120275;0.4879725;0;0.9945455;0.6477664;0.6312997;0.579832;0.1935484;0.0276498;0.4055299;0.5990784;0.7142857;0.0368664;0.3456221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10105;0.0551948;0.5292208;0.275974;0.4350649;0.2142857;0.6019418;0.5970874;0.5179487;0.4820513;0.825641;0.0017094;0.9350427;0.7538462;0.6984127;0.9383117;0.519389;0.4806111;0.007371;0.980344;0.6897767;0.6115843;0.8133705;0.0334448;0.1204013;0.187291;0.3712375;0.7792642;0.0200669;0.0668896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10106;0.0438293;0.455594;0.1937716;0.2883506;0.1580161;0.2449726;0.7477148;0.5143178;0.4856822;0.826502;0.001123;0.921954;0.6720943;0.4770259;0.9614711;0.5318226;0.4681774;0.0010379;0.9953295;0.6123433;0.5181102;0.6276596;0.0103761;0.4474708;0.1621271;0.3942931;0.540856;0.0064851;0.1154345;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10107;0.0611354;0.6462882;0.3799127;0.6331878;0.3100437;0.0759494;0.7468355;0.4958333;0.5041667;0.88125;0.0145833;0.9229167;0.7229167;0.5677233;0.8121827;0.4906103;0.5093897;0.0322581;0.9602978;0.6384977;0.6470588;0.8522727;0.025974;0.1558442;0.0519481;0.474026;0.7467533;0.025974;0.2597403;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10108;0.0465116;0.4744186;0.4093023;0.4;0.2325581;0.4527027;0.6891892;0.790938;0.209062;0.5437202;0.0031797;0.9324324;0.926868;0.3361921;0.6964286;0.7181706;0.2818294;0.0038023;0.9949303;0.8479605;0.1997085;0.6861314;0.0133333;0.0266667;0.0266667;0.5933333;0.6466666;0.0466667;0.2266667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10109;0.0565383;0.3513701;0.2237253;0.329171;0.0551509;0.4729242;0.8032491;0.4899447;0.5100553;0.858723;0.0233786;0.8738059;0.6666667;0.6523378;0.8462428;0.4857785;0.5142215;0.0040609;0.9914721;0.5784057;0.6334519;0.3861083;0.0493077;0.0378251;0.1685241;0.1877744;0.3485309;0.0371496;0.0665316;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10110;0.2856295;0.5053444;0.4115202;0.4465558;0.2529691;0.5743544;0.8147818;0.5085635;0.4914365;0.7872928;0.0016575;0.9146409;0.7063536;0.5334376;0.8401759;0.5224605;0.4775396;0.0002731;0.9939907;0.6574783;0.5784162;0.7993289;0.2614458;0.4933735;0.3771084;0.3542169;0.4626506;0.1078313;0.2427711;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
